"","Location","1953","1958","1963","1968","1973","1978","1983","1988","1993","1998","2003","2008","2013","2018","2023","2028","2033","2038","2043","2048","2053","2058","2063","2068","2073","2078","2083","2088","2093","2098","min_trend"
"1","Rwanda",40.02,41.51,43.02,44.13,44.58,45.79,49.79,48.07,23.72,44.74,50.58,60.05,65.17,67.6,68.84,70.03,71.18,72.22,73.07,73.86,74.74,75.66,76.53,77.33,77.99,78.6,79.18,79.76,80.33,80.89,-24.35
"2","Cambodia",40.32,41.05,41.39,41.97,37.84,14.49,45.08,52.04,54.27,56.41,60.78,65.12,67.61,69.48,71.08,72.44,73.63,74.72,75.73,76.66,77.53,78.36,79.2,80.01,80.81,81.59,82.33,83.08,83.78,84.44,-23.35
"3","Timor-Leste",29.97,32.48,34.98,37.49,39.95,31.18,39.91,46.45,50.46,56.99,61.47,66.39,67.74,69.37,70.7,71.81,72.79,73.68,74.5,75.3,76.07,76.83,77.56,78.3,79.01,79.73,80.44,81.17,81.89,82.59,-8.77
"4","Botswana",47.66,49.69,51.6,53.37,56.07,59.32,61.75,62.54,59.87,51.31,49.15,56.53,62.91,68.07,69.87,71.11,72.11,73.01,73.85,74.67,75.57,76.45,77.21,77.88,78.52,79.13,79.74,80.35,80.94,81.53,-8.56
"5","Zimbabwe",48.54,50.59,52.48,54.13,55.77,57.83,60.54,60.18,54.65,47.35,44.13,48.35,57.63,61.92,62.83,64.51,66.26,67.88,69.35,70.86,72.19,73.32,74.38,75.37,76.3,77.09,77.78,78.45,79.1,79.73,-7.3
"6","Zimbabwe",48.54,50.59,52.48,54.13,55.77,57.83,60.54,60.18,54.65,47.35,44.13,48.35,57.63,61.92,62.83,64.51,66.26,67.88,69.35,70.86,72.19,73.32,74.38,75.37,76.3,77.09,77.78,78.45,79.1,79.73,-7.3
"7","Lesotho",42.16,45.08,47.79,48.52,49.8,52.26,55.3,57.33,59.7,52.73,45.62,49.04,52.5,54.74,56.57,58.8,61.15,63.52,65.79,67.82,69.44,70.72,71.94,73.1,74.21,75.18,76.05,76.89,77.71,78.51,-7.11
"8","Lesotho",42.16,45.08,47.79,48.52,49.8,52.26,55.3,57.33,59.7,52.73,45.62,49.04,52.5,54.74,56.57,58.8,61.15,63.52,65.79,67.82,69.44,70.72,71.94,73.1,74.21,75.18,76.05,76.89,77.71,78.51,-7.11
"9","Swaziland",41.43,43.47,45.04,46.69,49.61,52.61,56.15,59.66,59.47,52.51,45.96,48.41,54.99,58.47,59.94,61.68,63.53,65.37,67.09,68.6,70.02,71.32,72.55,73.71,74.76,75.64,76.47,77.28,78.06,78.83,-6.96
"10","Swaziland",41.43,43.47,45.04,46.69,49.61,52.61,56.15,59.66,59.47,52.51,45.96,48.41,54.99,58.47,59.94,61.68,63.53,65.37,67.09,68.6,70.02,71.32,72.55,73.71,74.76,75.64,76.47,77.28,78.06,78.83,-6.96
"11","Dem. People's Republic of Korea",37.59,49.88,51.63,57.24,61.73,65.03,67.06,68.59,70.03,63.5,68.06,68.44,70.79,71.94,73,73.99,74.91,75.79,76.65,77.49,78.3,79.14,79.95,80.76,81.55,82.32,83.07,83.76,84.41,85.01,-6.53
"12","South Africa",48.52,51.27,53.02,54.84,56.69,57.34,58.35,60.99,62.25,59.2,53.84,53.07,59.49,63.73,64.97,66.15,67.32,68.5,69.63,70.73,71.91,73.07,74.19,75.21,76.1,76.94,77.73,78.5,79.25,79.97,-5.36
"13","Southern Africa",47.8,50.58,52.43,54.23,56.09,57.01,58.21,60.78,61.94,58.48,53.2,52.98,59.3,63.47,64.76,66.01,67.26,68.51,69.7,70.85,72.04,73.2,74.3,75.29,76.18,77,77.79,78.55,79.29,80.01,-5.27999999999999
