Location,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,cluster
Afghanistan,28.61,31.13,33.4,35.58,37.83,40.39,43.56,47.7,51.75,54.16,56.9,60.02,62.25,4
Albania,55.26,59.3,64.85,66.24,67.69,69.7,70.61,71.98,71.69,73.03,74.82,75.64,77.66,2
Algeria,42.89,45,47.29,49.47,51.49,54.93,61.58,65.86,67.21,69.15,71.5,73.89,75.27,5
Angola,31.39,32.54,34.09,36.04,38.05,40,40.89,41.48,42.22,44.73,49.98,55.59,60.19,4
Antigua and Barbuda,58.53,60.94,63.19,65.02,66.72,68.18,69.53,70.8,71.88,73,74.06,74.99,75.81,2
Argentina,62.54,64.55,65.27,65.8,67.24,68.67,70.17,71.02,72.15,73.28,74.34,75.18,76.01,1
Armenia,62.81,64.92,67.03,69.18,70.76,70.59,70.92,68.39,68.06,70.2,72.37,72.74,73.99,1
Aruba,60.44,64.38,66.58,68.22,70.04,71.55,72.87,73.32,73.56,73.69,73.97,74.67,75.37,1
Australia,69.39,70.43,70.88,70.84,71.76,73.58,75.09,76.18,77.69,78.84,80.33,81.47,82.3,1
Austria,66.54,68.02,69.66,70.14,70.8,72.14,73.28,75,76.15,77.53,78.92,80.13,80.98,1
Azerbaijan,58.42,60.4,61.53,62.63,63.54,63.94,64.43,65.23,64.55,66.25,67.44,70.09,71.57,2
Bahamas,60.02,61.99,63.7,65.24,66.61,67.93,69.08,70.2,71.12,71.66,73.17,74.31,75.15,2
Bahrain,42.99,48.48,55.3,61.09,65.37,68.36,70.47,71.83,72.89,73.92,74.92,75.69,76.41,2
Bangladesh,40.67,44.22,47.19,49.32,46.28,52.21,54.3,56.97,59.99,63.74,66.7,69.05,71.25,3
Barbados,57.21,59.81,62.17,64.6,66.41,67.95,69.46,70.77,71.94,72.96,73.76,74.56,75.37,2
Belarus,60.69,66.31,69.09,70.36,70.51,70.41,70.14,71.37,69.45,67.44,67.83,69.26,72.15,1
Belgium,67.81,69.46,70.3,70.71,71.5,72.66,73.91,75.27,76.4,77.39,78.38,79.57,80.52,1
Belize,55.92,58.64,61.34,64.26,66.72,68.66,70.35,71.46,70.57,68.59,68.52,69.58,69.76,2
Benin,33.71,36.14,38.41,40.87,43.48,46.22,48.3,51.92,55.14,54.96,56.18,58.56,59.93,4
Bhutan,32.26,33.78,35.47,38.2,41.06,43.69,47.39,50.98,54.81,58.58,62.91,66.54,68.78,4
Bolivia (Plurinational State of),40.02,41.39,42.95,44.72,46.69,48.86,51.22,53.77,56.47,59.27,62.11,64.95,67.72,3
Bosnia and Herzegovina,53.67,58.46,61.93,64.73,67.56,69.88,70.72,71.96,70.13,73.6,74.83,75.53,76.3,2
Botswana,47.66,49.69,51.6,53.37,56.07,59.32,61.75,62.54,59.87,51.31,49.15,56.53,62.91,3
Brazil,50.83,52.99,55.53,57.99,60.13,61.32,62.72,64.4,66.33,68.9,71.09,72.91,74.66,2
Brunei Darussalam,58.29,61.01,63.83,65.94,67.83,69.5,70.91,72.26,73.54,74.65,75.72,76.7,76.71,1
Bulgaria,62.32,66.77,70.27,70.91,71.06,71.1,71.24,71.39,71.11,70.97,72.19,73.14,74.25,1
Burkina Faso,30.94,33.29,35.59,38.04,40.27,43.39,48.39,49.48,49.33,49.86,51.61,55.27,58.71,4
Burundi,39.03,40.52,42.03,43.53,44.23,46.43,48.03,49.16,47.3,50.87,51.98,53.67,56.09,4
Cabo Verde,48.06,48.76,49.45,52.44,55.25,60.51,62.38,64.1,65.73,67.95,71.29,71.79,72.15,5
Cambodia,40.32,41.05,41.39,41.97,37.84,14.49,45.08,52.04,54.27,56.41,60.78,65.12,67.61,4
Cameroon,38.54,40.45,42.68,44.85,47.42,50.05,52.06,52.79,51.24,49.34,51.45,54.39,56.39,4
Canada,69.05,70.32,71.34,72.15,73.01,74.31,75.85,76.83,77.75,78.57,79.69,80.76,81.77,1
Central African Republic,33.44,35.5,37.57,40.16,43.9,47.62,49.56,49.49,47.64,44.96,43.68,45.98,49.4,4
Chad,36.06,37.36,38.7,40.14,42.52,43.98,45.38,46.64,47.14,47.65,47.66,48.87,51.67,4
Channel Islands,69.23,70.46,70.92,71.6,72.06,72.86,74.04,74.94,76.08,77,78.27,79.63,80.57,1
Chile,54.64,56.38,58.32,60.82,63.94,67.38,70.57,72.7,74.56,76.09,77.37,78.13,78.82,2
China,43.83,44.47,44.55,55.47,61.67,65.51,67.75,68.92,69.67,70.86,73.11,74.68,75.67,5
"China, Hong Kong SAR",63.15,65.88,68.81,70.86,72.49,73.76,75.61,76.96,78.03,79.98,81.41,82.43,83.4,1
"China, Macao SAR",60.98,63.58,66.01,68.11,70.64,73.02,74.82,76.54,78.05,79.75,80.97,82.07,83.28,1
"China, Taiwan Province of China",58.16,62.92,65.01,66.92,69.37,70.82,72.13,73.34,74.39,75.18,76.91,78.17,79.25,1
Colombia,50.65,55.17,57.95,60.08,61.76,63.99,66.86,67.99,68.66,70.3,71.67,72.86,73.74,2
Comoros,38.72,40.47,42.47,44.48,46.85,49.06,52.29,55.29,57.82,59.29,59.6,60.89,62.83,3
Congo,43.15,46.83,50.16,52.49,54.11,55.44,56.63,56.66,54.83,51.99,52.12,57.95,62.55,3
Costa Rica,56,58.75,62.37,65.17,67.7,70.49,73.42,75.09,76.07,77.03,77.81,78.41,79.16,1
Croatia,61.27,63.64,65.73,67.48,69.06,69.92,70.6,71.89,72.81,74.57,74.94,76.09,77.05,1
Cuba,59.4,62.35,65.35,68.49,70.98,73.1,74.24,74.64,74.79,76.17,77.16,78.66,79.16,1
Curaçao,60.65,64.34,66.47,68.16,69.91,72.15,73.66,74.44,74.54,74.58,75,76.12,77.77,1
Cyprus,66.73,68.74,70.42,71.91,73.18,74.28,75.26,76.14,76.94,77.67,78.34,78.96,79.92,1
Czechia,66.86,69.59,70.35,69.98,70.04,70.64,70.78,71.45,72.49,74.23,75.53,76.98,78.17,1
Côte d'Ivoire,32.14,35.09,38.65,41.65,45.8,49.26,51.61,52.77,51.45,47.62,46.68,49.19,51.7,4
Dem. People's Republic of Korea,37.59,49.88,51.63,57.24,61.73,65.03,67.06,68.59,70.03,63.5,68.06,68.44,70.79,5
Democratic Republic of the Congo,39.05,40.55,41.63,42.99,44.77,45.63,47.13,48.24,49.59,48.89,51.84,55.48,58.1,4
Denmark,71.06,72.07,72.4,72.93,73.63,74.24,74.44,74.75,75.23,76.14,77.34,78.58,80.14,1
Djibouti,41.04,42.95,45.18,47.35,50.9,52.55,54.67,56.11,57.02,57.02,57.29,59.05,61.62,3
Dominican Republic,45.95,49.9,53.58,56.92,59.84,62.01,63.99,66.5,69.01,70.04,71.09,72.19,73.19,5
Ecuador,48.65,51.59,54.75,56.78,58.89,61.67,64.56,67.63,70.17,72.1,73.62,74.57,75.54,2
Egypt,41.14,46.35,49.3,51.58,52.96,56.76,59.9,63.54,65.45,67.98,69,69.88,70.84,5
El Salvador,44.26,48.12,51.58,53.93,55.75,56.21,57.15,61.55,66.07,68.02,69.57,71.13,72.63,5
