Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Afghanistan,7.45,1.022,5847.718,68.97,280.042,23.74,8.903,5.637,0.776,6.672,2.776,1.06,29.835,29.362,28.947,3
Albania,6.23,0.827,143.887,82.32,144.825,6.51,6.704,9.034,2.016,-1.094,-0.922,1.078,30.606,27.504,29.097,1
Algeria,7.278,0.949,3622.673,80.9,163.007,13.341,4.733,4.984,2.766,2.185,1.631,1.05,29.892,31.662,31.369,1
Angola,7.3,1.753,8565.659,65.42,219.42,24.927,12.031,7.107,2.748,3.18,3.566,1.02,28.21,28.696,29.032,1
Antigua and Barbuda,4.5,0.896,7.827,79.25,92.982,6.215,6.062,6.245,-0.904,1.974,1.176,1.03,26.843,27.38,28.538,3
Argentina,3.154,0.936,3622.119,79.02,65.896,8.9,7.688,7.594,1.484,1.338,1.035,1.04,28.269,27.87,28.949,2
Armenia,4.494,0.795,137.092,76.85,82.982,6.247,9.662,10.097,1.177,-1.901,-0.71,1.151,28.861,25.933,28.981,1
Aruba,5.65,0.862,6.366,78.09,69.058,6.231,7.58,10.693,-0.281,5.132,0.324,1.05,27.53,27.701,30.042,1
Australia,3.18,0.854,1601.367,85.52,23.685,7.669,6.597,6.967,1.602,1.18,1.778,1.056,27.519,30.262,31.608,2
Austria,2.105,0.826,394.797,84.44,53.133,12.364,9.228,10.031,0.284,0.678,0.375,1.055,27.437,29.45,31.783,1
Azerbaijan,5.2,0.87,657.192,72.63,119.994,8.408,6.682,7.964,1.658,1.419,1.125,1.166,30.273,26.029,26.154,1
Bahamas,4.05,0.818,25.418,78.03,70.563,5.911,5.777,7.588,1.765,1.777,1.832,1.057,28.102,28.21,30.376,2
Bahrain,6.97,0.806,115.357,80.36,172.181,4.681,2.363,2.963,3.351,2.562,6.666,1.038,29.932,29.803,29.713,2
Bangladesh,6.359,0.793,12954.598,78.28,220.394,15.246,5.881,5.45,2.609,2.229,1.18,1.049,28.27,25.869,26.221,3
Barbados,4.417,0.888,15.827,78.68,85.501,10.166,10.212,12.089,0.344,0.349,0.401,1.036,28.025,27.751,30.607,3
Belarus,2.61,0.894,437.87,73.52,95.624,9.811,15.159,13.41,0.497,-0.146,-0.311,1.063,28.659,26.833,30.52,1
Belgium,2.365,0.898,628.721,84.16,44.796,11.846,9.831,9.612,0.181,0.356,0.73,1.05,27.802,29.588,31.599,2
Belize,6.65,0.916,42.34,72.4,100.145,7.159,4.923,5.466,2.572,1.97,2.538,1.03,27.31,27.173,27.587,1
Benin,5.857,1.493,2583.995,64.46,209.382,20.322,10.571,7.965,3.031,3.415,2.838,1.041,30.675,29.099,28.515,3
Bhutan,6.67,0.773,59.787,76.26,246.276,19.998,6.494,6.296,2.796,-0.852,2.053,1.04,29.2,28.179,29.456,3
Bolivia (Plurinational State of),6.89,0.995,1258.783,74.14,172.807,16.986,8.389,6.957,1.975,1.972,1.666,1.05,30.336,28.564,28.326,1
Bosnia and Herzegovina,4.82,0.799,144.902,80.37,188.59,6.165,9.388,12.031,0.322,-2.99,-0.317,1.065,28.929,27.752,30.6,1
Botswana,6.5,0.932,248.006,72.36,135.044,9.901,10.777,5.947,2.947,2.599,1.644,1.03,29.847,29.533,29.986,1
Brazil,6.1,0.787,12433.852,79.21,136.389,8.996,5.867,7.141,1.921,1.662,1.03,1.05,30.08,26.295,27.841,2
Brunei Darussalam,6.896,0.826,29.242,80.8,81.34,5.375,3.039,4.742,2.841,2.768,1.247,1.055,28.877,29.59,30.631,1
Bulgaria,2.526,0.859,264.673,76.08,90.29,10.542,14.829,15.866,-0.301,-1.074,-0.74,1.057,25.08,26.477,30.667,1
Burkina Faso,6.104,1.534,4681.238,67.8,228.085,21.535,11.923,6.568,2.623,2.711,3.014,1.046,28.536,29.466,28.9,3
Burundi,6.801,1.653,2809.533,64.93,166.6,19.188,12.938,8.366,2.825,1.923,3.327,1.03,31.335,31.059,29.405,3
Cabo Verde,6.566,0.853,50.724,75.87,132.296,10.376,5.644,4.961,1.634,2.588,1.139,1.03,30.464,27.677,27.512,1
Cambodia,6.947,0.941,1666.716,74.14,142.499,61.634,6.9,5.967,3.027,3.433,1.507,1.064,30.018,28.488,26.253,3
Cameroon,5.489,1.46,5149.266,68.02,169.397,16.592,12.328,7.671,3.066,2.778,2.732,1.03,28.605,28.559,29.593,1
Canada,3.645,0.805,1967.128,85.34,37.831,7.083,7.198,8.129,1.359,1.149,1.132,1.053,27.843,29.777,31.394,2
Central African Republic,5.516,1.299,992.56,63.79,203.889,18.189,17.742,10.187,2.195,2.629,1.496,1.03,28.667,30.43,29.096,3
Chad,6.1,1.507,3969.059,60.82,185.996,21.535,16.276,10.483,3.139,3.229,3.324,1.03,28.214,28.4,29.517,3
Channel Islands,2.056,0.772,7.797,84.7,32.446,11.694,8.94,9.631,1.001,0.475,0.674,1.057,28.224,30.034,30.792,3
Chile,5.146,0.842,1094.355,83.44,122.52,7.338,5.603,6.895,1.67,1.532,1.022,1.04,29.214,27.696,28.931,2
China,6.025,0.827,65833.661,79.84,128.889,7.164,6.509,8.983,1.813,1.119,0.569,1.17,29.825,26.674,29.696,1
