Location,Urban,Rural,Total,UrbanPercent,Percent1955
WORLD, 4 219 817, 3 413 002, 7 632 819,55.30,31.6
More developed regions,  993 837,  269 363, 1 263 200,78.70,57.9
Less developed regions, 3 225 980, 3 143 639, 6 369 620,50.60,19.7
Least developed countries,  344 291,  681 645, 1 025 937,33.60,8.5
"Less developed regions, excluding least developed countries", 2 881 689, 2 461 994, 5 343 683,53.90,21.1
"Less developed regions, excluding China", 2 362 379, 2 560 440, 4 922 818,48.00,22.3
High-income countries,  975 461,  221 730, 1 197 191,81.50,61.1
Middle-income countries, 3 017 642, 2 720 000, 5 737 642,52.60,22.2
Upper-middle-income countries, 1 759 118,  881 117, 2 640 235,66.60,25.1
Lower-middle-income countries, 1 258 524, 1 838 883, 3 097 407,40.60,18.6
Low-income countries,  224 131,  470 929,  695 060,32.20,10.4
Sub-Saharan Africa,  423 958,  626 178, 1 050 136,40.40,12.9
AFRICA,  547 602,  740 318, 1 287 921,42.50,16.3
Eastern Africa,  121 316,  312 328,  433 643,28.00,6.7
Burundi,  1 462,  9 755,  11 216,13.00,1.9
Comoros,241.00,591.00,832.00,29.00,9.2
Djibouti,756.00,216.00,971.00,77.80,45
Eritrea,  2 079,  3 109,  5 188,40.10,8.4
Ethiopia,  22 328,  85 207,  107 535,20.80,5.4
Kenya,  13 772,  37 179,  50 951,27.00,6.4
Madagascar,  9 767,  16 496,  26 263,37.20,9.1
Malawi,  3 246,  15 919,  19 165,16.90,3.9
Mauritius,517.00,751.00,  1 268,40.80,31.6
Mayotte,120.00,140.00,260.00,46.10,11.9
Mozambique,  10 987,  19 542,  30 529,36.00,6.1
Réunion,879.00,4.00,883.00,99.60,27.9
Rwanda,  2 152,  10 350,  12 501,17.20,2.3
Seychelles,54.00,41.00,95.00,56.70,27.5
Somalia,  6 827,  8 355,  15 182,45.00,14.9
South Sudan,  2 534,  10 385,  12 919,19.60,8.8
Uganda,  10 525,  33 745,  44 271,23.80,3.5
United Republic of Tanzania,  19 959,  39 133,  59 091,33.80,4.4
Zambia,  7 664,  9 946,  17 609,43.50,14.5
Zimbabwe,  5 448,  11 466,  16 913,32.20,11.6
Middle Africa,  83 484,  85 055,  168 538,49.50,15.6
Angola,  20 162,  10 613,  30 774,65.50,8.9
Cameroon,  13 912,  10 766,  24 678,56.40,11.4
Central African Republic,  1 960,  2 778,  4 737,41.40,17.1
Chad,  3 540,  11 813,  15 353,23.10,5.5
Congo,  3 613,  1 786,  5 400,66.90,28.1
Democratic Republic of the Congo,  37 349,  46 656,  84 005,44.50,20.7
Equatorial Guinea,948.00,366.00,  1 314,72.10,20.4
Gabon,  1 848,220.00,  2 068,89.40,14.1
Sao Tome and Principe,152.00,57.00,209.00,72.80,14.7
Northern Africa,  123 644,  114 141,  237 785,52.00,28.6
Algeria,  30 510,  11 498,  42 008,72.60,26.1
Egypt,  42 438,  56 938,  99 376,42.70,34.8
Libya,  5 183,  1 288,  6 471,80.10,23.2
Morocco,  22 603,  13 589,  36 192,62.50,27.7
Sudan,  14 380,  27 131,  41 512,34.60,8.6
Tunisia,  8 038,  3 621,  11 659,68.90,35.2
Western Sahara,492.00,76.00,567.00,86.70,31.1
Southern Africa,  41 970,  24 004,  65 974,63.60,39.8
Botswana,  1 620,713.00,  2 333,69.40,2.9
Lesotho,637.00,  1 626,  2 263,28.20,2
Namibia,  1 295,  1 293,  2 588,50.00,15.5
South Africa,  38 087,  19 312,  57 398,66.40,44.4
Swaziland,331.00,  1 060,  1 391,23.80,2.5
Western Africa,  177 189,  204 792,  381 981,46.40,11.7
Benin,  5 434,  6 052,  11 486,47.30,6.8
Burkina Faso,  5 799,  13 953,  19 752,29.40,4.2
Cabo Verde,364.00,190.00,553.00,65.70,15.4
Côte d'Ivoire,  12 647,  12 259,  24 906,50.80,13.1
Gambia,  1 326,838.00,  2 164,61.30,11.2
Ghana,  16 517,  12 946,  29 464,56.10,19.1
Guinea,  4 717,  8 335,  13 053,36.10,8.4
Guinea-Bissau,827.00,  1 080,  1 907,43.40,11.7
Liberia,  2 483,  2 371,  4 854,51.20,15.6
