Location,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
WORLD,29.6,31.6,33.8,35.6,36.6,37.7,39.3,41.2,43,44.8,46.7,49.2,51.7,53.9,56.2,58.3,60.4,62.5,64.5,66.4,68.4
More developed regions,54.8,57.9,61.1,64.1,66.8,68.8,70.3,71.4,72.4,73.3,74.2,75.9,77.2,78.1,79.1,80.2,81.4,82.7,84,85.4,86.6
Less developed regions,17.7,19.7,21.9,24,25.3,26.9,29.4,32.2,34.9,37.5,40.1,43.1,46.1,49,51.7,54.3,56.7,59,61.3,63.4,65.6
Least developed countries,7.5,8.5,9.7,11.1,12.8,14.5,17.1,19.3,21.5,23.4,25,27.1,29.5,32,34.6,37.4,40.4,43.4,46.4,49.4,52.5
"Less developed regions, excluding least developed countries",19,21.1,23.5,25.6,26.9,28.5,31,34,36.8,39.6,42.4,45.7,49,52.1,55.1,57.8,60.4,62.8,65.1,67.3,69.4
"Less developed regions, excluding China",20.3,22.3,24.3,26.4,28.6,30.9,33.4,35.7,37.9,39.6,41.2,43,44.9,46.8,48.8,50.9,53.1,55.4,57.8,60.2,62.7
High-income countries,58.5,61.1,63.8,66.3,68.7,70.4,71.8,73.1,74.4,75.7,76.8,78.6,80,80.9,81.9,82.8,83.9,85,86.2,87.3,88.4
Middle-income countries,19.9,22.2,24.5,26.7,27.8,29.4,31.7,34.3,36.7,39.1,41.6,44.7,47.9,50.8,53.7,56.5,59,61.5,63.9,66.1,68.3
Upper-middle-income countries,22.1,25.1,28.4,31.3,32.2,33.6,36.3,39.8,42.9,46.4,50.3,55,59.8,64.1,68.2,71.7,74.8,77.3,79.3,81,82.6
Lower-middle-income countries,17.2,18.6,19.9,21.2,22.6,24.3,26.3,28.2,30,31.6,33.1,35,37.1,39.2,41.6,44.2,47,49.9,52.9,56,59
Low-income countries,9.3,10.4,11.9,13.5,15.7,17.5,19.1,20.9,22.8,24.3,25.7,27.2,28.9,30.9,33.2,35.7,38.3,41.2,44.2,47.2,50.2
Sub-Saharan Africa,11.1,12.9,14.9,16.5,18.3,20.4,22.6,24.9,27.5,29.6,31.4,33.7,36.1,38.8,41.4,44.2,47,49.8,52.5,55.3,58.1
AFRICA,14.3,16.3,18.6,20.6,22.6,24.7,26.8,29.1,31.5,33.5,35,36.9,38.9,41.2,43.5,45.9,48.4,50.9,53.6,56.2,58.9
Eastern Africa,5.7,6.7,7.7,9.1,10.7,12.5,14.6,16.2,18,19.7,21,22.5,24.4,26.6,29,31.6,34.5,37.5,40.7,43.8,47.1
Burundi,1.7,1.9,2.1,2.3,2.8,3.5,4.3,5.2,6.3,7.2,8.2,9.4,10.6,12.1,13.7,15.5,17.6,19.9,22.3,25,27.9
Comoros,6.6,9.2,12.6,17,19.4,21.2,23.2,25.5,27.9,28.3,28.1,27.9,28,28.5,29.4,30.7,32.5,34.6,36.6,38.8,41
Djibouti,39.8,45,50.3,56.1,61.8,67.1,72.1,74.9,76,76.3,76.5,76.8,77,77.4,78.1,78.9,80,81.2,82.4,83.6,84.7
Eritrea,7.1,8.4,9.8,11.5,12.7,13.5,14.4,15.8,18.9,22.5,26.6,31.1,35.2,38.2,41.3,44.6,47.8,51,54.1,57.1,60.1
Ethiopia,4.6,5.4,6.4,7.6,8.6,9.5,10.4,11.5,12.6,13.8,14.7,15.7,17.3,19.4,21.7,24.2,26.9,29.7,32.7,35.8,39.1
Kenya,5.6,6.4,7.4,8.6,10.3,12.9,15.6,16.1,16.7,18.3,19.9,21.7,23.6,25.7,28,30.6,33.4,36.5,39.7,42.9,46.3
Madagascar,7.8,9.1,10.6,12.4,14.1,16.3,18.5,20.9,23.6,25.8,27.1,28.8,31.9,35.2,38.5,41.9,45.2,48.5,51.6,54.8,57.9
Malawi,3.5,3.9,4.4,4.9,6.1,7.7,9.1,10.2,11.6,13.3,14.6,15.1,15.5,16.3,17.4,18.9,20.9,23.3,26,28.9,32
Mauritius,29.3,31.6,35.1,38.8,42.6,43.4,42.4,42.3,43.9,43.3,42.7,42.1,41.6,41,40.8,41,41.9,43.2,45.1,47.3,49.5
Mayotte,8.5,11.9,16.3,22,25.1,27.5,30.1,33,36.1,41.5,47.7,50.2,49,47,45.8,45.3,45.7,47,49,51.2,53.4
Mozambique,5.5,6.1,6.9,7.9,9,10.9,13.2,18.3,25,27.5,29.1,30,31.8,34.4,37.1,39.9,42.9,46,49.1,52.2,55.3
Réunion,23.5,27.9,32.8,38.2,41.7,44.5,53.5,67.9,81.2,86.1,91.2,96.3,98.5,99.3,99.7,99.8,99.9,99.9,99.9,99.9,99.9
Rwanda,2.1,2.3,2.6,2.9,3.2,4,4.7,5.1,5.4,9.8,14.9,16.9,16.9,17,17.4,18.3,19.6,21.5,23.9,26.7,29.6
Seychelles,27.4,27.5,27.7,33.1,39.1,46.3,49.4,49.3,49.3,49.6,50.4,51.7,53.3,55.4,57.5,59.7,61.7,63.8,65.8,67.7,69.6
Somalia,12.7,14.9,17.3,20,22.7,25.5,26.8,28.1,29.7,31.4,33.2,36.3,39.3,43.2,46.1,49.1,52.1,55.2,58.1,61,63.8
South Sudan,8.9,8.8,8.7,8.7,8.6,8.6,8.5,9.8,13.3,15.9,16.5,17.2,17.9,18.9,20.2,21.9,24.1,26.8,29.7,32.8,36
Uganda,2.8,3.5,4.4,5.5,6.7,7,7.5,9.2,11.1,12.8,14.8,17,19.4,22.1,25,28,31.2,34.4,37.7,40.9,44.1
United Republic of Tanzania,3.5,4.4,5.2,6,7.9,11.1,14.6,16.8,18.9,20.5,22.3,24.8,28.1,31.6,35.2,38.9,42.4,45.9,49.1,52.3,55.4
Zambia,11.5,14.5,18.1,23.4,30.4,34.9,39.8,39.7,39.4,37.1,34.8,36.9,39.4,41.9,44.6,47.5,50.5,53.5,56.5,59.5,62.4
Zimbabwe,10.6,11.6,12.6,14.6,17.4,19.9,22.4,25.4,29,31.7,33.8,34.1,33.2,32.4,32.2,32.9,34.2,36.4,39.4,42.6,45.9
Middle Africa,13.9,15.6,17.6,19.6,21.9,25.2,28.1,31,34,36.9,39.7,42.6,45.2,47.9,50.6,53.4,56.2,59,61.7,64.4,67
Angola,7.6,8.9,10.4,12.5,15,19.1,24.3,30.3,37.1,44.2,50.1,56,59.8,63.4,66.8,69.9,72.5,74.9,76.9,78.7,80.4
Cameroon,9.3,11.4,13.9,16.9,20.3,27.3,31.9,36.2,39.7,42.6,45.5,48.5,51.6,54.6,57.6,60.5,63.2,65.9,68.4,70.8,73.1
Central African Republic,14.4,17.1,20.1,23.5,27.5,32,33.9,35.5,36.8,37.2,37.6,38.1,38.9,40.3,42.2,44.7,47.6,50.8,54,57.1,60.2
Chad,4.5,5.5,6.7,8.4,11.6,15.6,18.8,19.8,20.8,21.5,21.6,21.8,22,22.5,23.5,25,27.1,29.8,32.8,36,39.3
Congo,24.9,28.1,31.6,35.3,39.1,43.3,47.9,52.2,54.3,56.4,58.7,61,63.3,65.5,67.8,70.1,72.3,74.4,76.4,78.2,80
Democratic Republic of the Congo,19.1,20.7,22.3,23.4,24.6,25.8,27.1,28.5,30.6,32.8,35.1,37.5,40,42.7,45.6,48.7,51.8,54.8,57.9,60.9,63.8
Equatorial Guinea,15.5,20.4,25.5,26.5,27,27.4,27.9,29.9,34.7,40.5,49.1,57.7,65.9,70.6,73.1,75.3,77.2,78.9,80.3,81.6,82.8
Gabon,11.4,14.1,17.4,23.8,32,43,54.7,62.4,69.1,74.8,78.9,82.5,85.5,88.1,90.1,91.6,92.7,93.5,94,94.5,95
Sao Tome and Principe,13.5,14.7,16.1,21.8,29.5,31.6,33.5,38,43.6,48.6,53.4,59.2,65,70.2,74.4,77.6,80,81.8,83.1,84.2,85.3
Northern Africa,25.9,28.6,31.5,34.5,37,39.4,41.3,43.5,45.7,47.3,48.3,49.3,50.5,51.4,52.5,53.8,55.3,57.2,59.4,61.7,64.1
Algeria,22.2,26.1,30.5,37.6,39.5,40.3,43.5,48,52.1,56,59.9,63.8,67.5,70.8,73.7,76.2,78.3,80,81.6,83.1,84.5
Egypt,31.9,34.8,37.9,39.7,41.5,43.3,43.9,43.9,43.5,42.8,42.8,43,43,42.8,42.8,43.4,44.8,46.8,49.4,52.5,55.6
Libya,19.5,23.2,27.3,33.7,49.7,62.8,70.1,75.5,75.7,76,76.4,77.1,78.1,79.3,80.7,82.2,83.6,85,86.2,87.4,88.4
Morocco,26.2,27.7,29.4,31.9,34.5,37.7,41.2,44.8,48.4,51.7,53.3,55.2,58,60.8,63.5,66.2,68.7,71,73.2,75.3,77.2
Sudan,6.8,8.6,10.7,13.4,16.5,18.9,20,22.9,28.6,32.2,32.5,32.8,33.1,33.9,35.3,37.2,39.7,42.8,46,49.3,52.6
Tunisia,32.3,35.2,37.5,39.7,43.5,47.6,50.6,53.8,57.9,61.5,63.4,65.2,66.7,68.1,69.6,71.2,73,74.8,76.7,78.5,80.2
Western Sahara,31,31.1,31.2,36.2,42.1,59.5,75.7,82.3,84.1,85.5,85.8,86,86.3,86.5,86.8,87.3,87.8,88.5,89.2,90,90.7
Southern Africa,37.7,39.8,42,42.9,43.7,44.3,44.8,46,48.8,51.4,53.8,56.5,59.4,62.1,64.6,67.1,69.4,71.6,73.6,75.4,77.2
Botswana,2.7,2.9,3.1,3.8,7.8,11.9,16.5,26.7,41.9,49,53.2,55.9,62.4,67.2,70.9,74.1,76.8,79.1,81,82.5,83.9
Lesotho,1.8,2,3.5,6.4,8.6,10.8,11.5,11.8,14,17,19.5,22.2,24.8,26.9,29,31.4,34,36.9,39.9,43.1,46.4
Namibia,13.4,15.5,17.9,20,22.3,23.7,25.1,26.4,27.7,29.8,32.4,36.6,41.6,46.9,52,56.7,60.8,64.2,67.1,69.5,71.8
