Time,Lex_Urb_Corr,LEx_TFR_Corr,Lex_CNMR_Corr
1950.00,0.79,-0.70,0.06
1955.00,0.79,-0.69,0.02
1960.00,0.79,-0.70,0.12
1965.00,0.79,-0.78,0.08
1970.00,0.80,-0.83,0.25
1975.00,0.78,-0.85,0.20
1980.00,0.77,-0.87,0.19
1985.00,0.77,-0.88,0.25
1990.00,0.75,-0.84,0.26
1995.00,0.74,-0.80,0.30
2000.00,0.73,-0.78,0.31
2005.00,0.70,-0.78,0.36
2010.00,0.69,-0.81,0.28
2015.00,0.68,-0.80,0.41
2020.00,0.66,-0.79,0.40
2025.00,0.65,-0.78,0.42
2030.00,0.64,-0.76,0.43
2035.00,0.63,-0.75,0.42
2040.00,0.63,-0.73,0.42
2045.00,0.63,-0.71,0.41
2050.00,0.62,-0.69,0.41
